HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Pertussis,All cases,Reported cases,N,1998,AT,Austria,113,
Pertussis,All cases,Reported cases,N,1998,DK,Denmark,344,
Pertussis,All cases,Reported cases,N,1998,GR,Greece,85,
Pertussis,All cases,Reported cases,N,1998,ES,Spain,106,
Pertussis,All cases,Reported cases,N,1998,EUEEA30_21,EU/EEA (without UK),14820,
Pertussis,All cases,Reported cases,N,1998,EUEEAUK_21,EU/EEA (with UK until 2019),15206,
Pertussis,All cases,Reported cases,N,1998,FR,France,180,
Pertussis,All cases,Reported cases,N,1998,IE,Ireland,248,
Pertussis,All cases,Reported cases,N,1998,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,1998,IT,Italy,6981,
Pertussis,All cases,Reported cases,N,1998,LT,Lithuania,96,
Pertussis,All cases,Reported cases,N,1998,MT,Malta,4,
Pertussis,All cases,Reported cases,N,1998,NL,Netherlands,2572,
Pertussis,All cases,Reported cases,N,1998,NO,Norway,2310,
Pertussis,All cases,Reported cases,N,1998,PT,Portugal,9,
Pertussis,All cases,Reported cases,N,1998,SE,Sweden,1769,
Pertussis,All cases,Reported cases,N,1998,UK,United Kingdom,386,
Pertussis,All cases,Reported cases,N,1999,AT,Austria,103,
Pertussis,All cases,Reported cases,N,1999,DK,Denmark,947,
Pertussis,All cases,Reported cases,N,1999,GR,Greece,36,
Pertussis,All cases,Reported cases,N,1999,ES,Spain,220,
Pertussis,All cases,Reported cases,N,1999,EUEEA30_21,EU/EEA (without UK),16306,
Pertussis,All cases,Reported cases,N,1999,EUEEAUK_21,EU/EEA (with UK until 2019),16648,
Pertussis,All cases,Reported cases,N,1999,FR,France,195,
Pertussis,All cases,Reported cases,N,1999,IE,Ireland,179,
Pertussis,All cases,Reported cases,N,1999,IS,Iceland,22,
Pertussis,All cases,Reported cases,N,1999,IT,Italy,3798,
Pertussis,All cases,Reported cases,N,1999,LT,Lithuania,80,
Pertussis,All cases,Reported cases,N,1999,MT,Malta,60,
Pertussis,All cases,Reported cases,N,1999,NL,Netherlands,6988,
Pertussis,All cases,Reported cases,N,1999,NO,Norway,1241,
Pertussis,All cases,Reported cases,N,1999,PT,Portugal,12,
Pertussis,All cases,Reported cases,N,1999,SE,Sweden,2425,
Pertussis,All cases,Reported cases,N,1999,UK,United Kingdom,342,
Pertussis,All cases,Reported cases,N,2000,AT,Austria,117,
Pertussis,All cases,Reported cases,N,2000,DK,Denmark,923,
Pertussis,All cases,Reported cases,N,2000,GR,Greece,13,
Pertussis,All cases,Reported cases,N,2000,ES,Spain,587,
Pertussis,All cases,Reported cases,N,2000,EUEEA30_21,EU/EEA (without UK),15242,
Pertussis,All cases,Reported cases,N,2000,EUEEAUK_21,EU/EEA (with UK until 2019),15453,
Pertussis,All cases,Reported cases,N,2000,FR,France,275,
Pertussis,All cases,Reported cases,N,2000,IE,Ireland,152,
Pertussis,All cases,Reported cases,N,2000,IS,Iceland,8,
Pertussis,All cases,Reported cases,N,2000,IT,Italy,2542,
Pertussis,All cases,Reported cases,N,2000,LT,Lithuania,91,
Pertussis,All cases,Reported cases,N,2000,MT,Malta,3,
Pertussis,All cases,Reported cases,N,2000,NL,Netherlands,4359,
Pertussis,All cases,Reported cases,N,2000,NO,Norway,3445,
Pertussis,All cases,Reported cases,N,2000,PT,Portugal,22,
Pertussis,All cases,Reported cases,N,2000,SE,Sweden,2705,
Pertussis,All cases,Reported cases,N,2000,UK,United Kingdom,211,
Pertussis,All cases,Reported cases,N,2001,AT,Austria,253,
Pertussis,All cases,Reported cases,N,2001,DK,Denmark,919,
Pertussis,All cases,Reported cases,N,2001,GR,Greece,93,
Pertussis,All cases,Reported cases,N,2001,ES,Spain,271,
Pertussis,All cases,Reported cases,N,2001,EUEEA30_21,EU/EEA (without UK),15362,
Pertussis,All cases,Reported cases,N,2001,EUEEAUK_21,EU/EEA (with UK until 2019),15672,
Pertussis,All cases,Reported cases,N,2001,FR,France,120,
Pertussis,All cases,Reported cases,N,2001,IE,Ireland,142,
Pertussis,All cases,Reported cases,N,2001,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,2001,IT,Italy,1805,
Pertussis,All cases,Reported cases,N,2001,LT,Lithuania,162,
Pertussis,All cases,Reported cases,N,2001,MT,Malta,1,
Pertussis,All cases,Reported cases,N,2001,NL,Netherlands,8034,
Pertussis,All cases,Reported cases,N,2001,NO,Norway,2578,
Pertussis,All cases,Reported cases,N,2001,PT,Portugal,2,
Pertussis,All cases,Reported cases,N,2001,SE,Sweden,979,
Pertussis,All cases,Reported cases,N,2001,UK,United Kingdom,310,
Pertussis,All cases,Reported cases,N,2002,AT,Austria,157,
Pertussis,All cases,Reported cases,N,2002,DK,Denmark,1938,
Pertussis,All cases,Reported cases,N,2002,GR,Greece,16,
Pertussis,All cases,Reported cases,N,2002,ES,Spain,347,
Pertussis,All cases,Reported cases,N,2002,EUEEA30_21,EU/EEA (without UK),14338,
Pertussis,All cases,Reported cases,N,2002,EUEEAUK_21,EU/EEA (with UK until 2019),14718,
Pertussis,All cases,Reported cases,N,2002,FR,France,60,
Pertussis,All cases,Reported cases,N,2002,IE,Ireland,131,
Pertussis,All cases,Reported cases,N,2002,IS,Iceland,11,
Pertussis,All cases,Reported cases,N,2002,IT,Italy,2576,
Pertussis,All cases,Reported cases,N,2002,LT,Lithuania,23,
Pertussis,All cases,Reported cases,N,2002,MT,Malta,4,
Pertussis,All cases,Reported cases,N,2002,NL,Netherlands,4549,
Pertussis,All cases,Reported cases,N,2002,NO,Norway,3174,
Pertussis,All cases,Reported cases,N,2002,PT,Portugal,2,
Pertussis,All cases,Reported cases,N,2002,SE,Sweden,1350,
Pertussis,All cases,Reported cases,N,2002,UK,United Kingdom,380,
Pertussis,All cases,Reported cases,N,2003,AT,Austria,170,
Pertussis,All cases,Reported cases,N,2003,BG,Bulgaria,180,
Pertussis,All cases,Reported cases,N,2003,CY,Cyprus,58,
Pertussis,All cases,Reported cases,N,2003,CZ,Czechia,342,
Pertussis,All cases,Reported cases,N,2003,DK,Denmark,566,
Pertussis,All cases,Reported cases,N,2003,EE,Estonia,623,
Pertussis,All cases,Reported cases,N,2003,GR,Greece,10,
Pertussis,All cases,Reported cases,N,2003,ES,Spain,551,
Pertussis,All cases,Reported cases,N,2003,EUEEA30_21,EU/EEA (without UK),14034,
Pertussis,All cases,Reported cases,N,2003,EUEEAUK_21,EU/EEA (with UK until 2019),14304,
Pertussis,All cases,Reported cases,N,2003,FI,Finland,1264,
Pertussis,All cases,Reported cases,N,2003,FR,France,60,
Pertussis,All cases,Reported cases,N,2003,HR,Croatia,94,
Pertussis,All cases,Reported cases,N,2003,HU,Hungary,29,
Pertussis,All cases,Reported cases,N,2003,IE,Ireland,40,
Pertussis,All cases,Reported cases,N,2003,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,2003,IT,Italy,1278,
Pertussis,All cases,Reported cases,N,2003,LT,Lithuania,5,
Pertussis,All cases,Reported cases,N,2003,LU,Luxembourg,0,
Pertussis,All cases,Reported cases,N,2003,LV,Latvia,99,
Pertussis,All cases,Reported cases,N,2003,MT,Malta,7,
Pertussis,All cases,Reported cases,N,2003,NL,Netherlands,2862,
Pertussis,All cases,Reported cases,N,2003,NO,Norway,2768,
Pertussis,All cases,Reported cases,N,2003,PL,Poland,2034,
Pertussis,All cases,Reported cases,N,2003,PT,Portugal,4,
Pertussis,All cases,Reported cases,N,2003,RO,Romania,94,
Pertussis,All cases,Reported cases,N,2003,SE,Sweden,664,
Pertussis,All cases,Reported cases,N,2003,SI,Slovenia,182,
Pertussis,All cases,Reported cases,N,2003,SK,Slovakia,47,
Pertussis,All cases,Reported cases,N,2003,UK,United Kingdom,270,
Pertussis,All cases,Reported cases,N,2004,AT,Austria,130,
Pertussis,All cases,Reported cases,N,2004,BG,Bulgaria,222,
Pertussis,All cases,Reported cases,N,2004,CY,Cyprus,15,
Pertussis,All cases,Reported cases,N,2004,CZ,Czechia,373,
Pertussis,All cases,Reported cases,N,2004,DK,Denmark,1272,
Pertussis,All cases,Reported cases,N,2004,EE,Estonia,455,
Pertussis,All cases,Reported cases,N,2004,GR,Greece,25,
Pertussis,All cases,Reported cases,N,2004,ES,Spain,530,
Pertussis,All cases,Reported cases,N,2004,EUEEA30_21,EU/EEA (without UK),27909,
Pertussis,All cases,Reported cases,N,2004,EUEEAUK_21,EU/EEA (with UK until 2019),28279,
Pertussis,All cases,Reported cases,N,2004,FI,Finland,1631,
Pertussis,All cases,Reported cases,N,2004,FR,France,105,
Pertussis,All cases,Reported cases,N,2004,HR,Croatia,197,
Pertussis,All cases,Reported cases,N,2004,HU,Hungary,31,
Pertussis,All cases,Reported cases,N,2004,IE,Ireland,92,
Pertussis,All cases,Reported cases,N,2004,IS,Iceland,1,
Pertussis,All cases,Reported cases,N,2004,IT,Italy,1343,
Pertussis,All cases,Reported cases,N,2004,LT,Lithuania,49,
Pertussis,All cases,Reported cases,N,2004,LU,Luxembourg,3,
Pertussis,All cases,Reported cases,N,2004,LV,Latvia,41,
Pertussis,All cases,Reported cases,N,2004,MT,Malta,6,
Pertussis,All cases,Reported cases,N,2004,NL,Netherlands,9753,
Pertussis,All cases,Reported cases,N,2004,NO,Norway,6709,
Pertussis,All cases,Reported cases,N,2004,PL,Poland,2954,
Pertussis,All cases,Reported cases,N,2004,PT,Portugal,38,
Pertussis,All cases,Reported cases,N,2004,RO,Romania,233,
Pertussis,All cases,Reported cases,N,2004,SE,Sweden,1567,
Pertussis,All cases,Reported cases,N,2004,SI,Slovenia,113,
Pertussis,All cases,Reported cases,N,2004,SK,Slovakia,21,
Pertussis,All cases,Reported cases,N,2004,UK,United Kingdom,370,
Pertussis,All cases,Reported cases,N,2005,AT,Austria,135,
Pertussis,All cases,Reported cases,N,2005,BG,Bulgaria,313,
Pertussis,All cases,Reported cases,N,2005,CY,Cyprus,6,
Pertussis,All cases,Reported cases,N,2005,CZ,Czechia,412,
Pertussis,All cases,Reported cases,N,2005,DK,Denmark,596,
Pertussis,All cases,Reported cases,N,2005,EE,Estonia,63,
Pertussis,All cases,Reported cases,N,2005,GR,Greece,26,
Pertussis,All cases,Reported cases,N,2005,ES,Spain,304,
Pertussis,All cases,Reported cases,N,2005,EUEEA30_21,EU/EEA (without UK),17632,
Pertussis,All cases,Reported cases,N,2005,EUEEAUK_21,EU/EEA (with UK until 2019),18088,
Pertussis,All cases,Reported cases,N,2005,FI,Finland,552,
Pertussis,All cases,Reported cases,N,2005,FR,France,161,
Pertussis,All cases,Reported cases,N,2005,HR,Croatia,124,
Pertussis,All cases,Reported cases,N,2005,HU,Hungary,22,
Pertussis,All cases,Reported cases,N,2005,IE,Ireland,83,
Pertussis,All cases,Reported cases,N,2005,IS,Iceland,6,
Pertussis,All cases,Reported cases,N,2005,IT,Italy,802,
Pertussis,All cases,Reported cases,N,2005,LT,Lithuania,64,
Pertussis,All cases,Reported cases,N,2005,LU,Luxembourg,0,
Pertussis,All cases,Reported cases,N,2005,LV,Latvia,25,
Pertussis,All cases,Reported cases,N,2005,MT,Malta,5,
Pertussis,All cases,Reported cases,N,2005,NL,Netherlands,5913,
Pertussis,All cases,Reported cases,N,2005,NO,Norway,4503,
Pertussis,All cases,Reported cases,N,2005,PL,Poland,1925,
Pertussis,All cases,Reported cases,N,2005,PT,Portugal,78,
Pertussis,All cases,Reported cases,N,2005,RO,Romania,52,
Pertussis,All cases,Reported cases,N,2005,SE,Sweden,1360,
Pertussis,All cases,Reported cases,N,2005,SI,Slovenia,85,
Pertussis,All cases,Reported cases,N,2005,SK,Slovakia,17,
Pertussis,All cases,Reported cases,N,2005,UK,United Kingdom,456,
Pertussis,All cases,Reported cases,N,2006,AT,Austria,78,
Pertussis,All cases,Reported cases,N,2006,BE,Belgium,197,
Pertussis,All cases,Reported cases,N,2006,BG,Bulgaria,335,
Pertussis,All cases,Reported cases,N,2006,CY,Cyprus,8,
Pertussis,All cases,Reported cases,N,2006,CZ,Czechia,234,
Pertussis,All cases,Reported cases,N,2006,DK,Denmark,272,
Pertussis,All cases,Reported cases,N,2006,EE,Estonia,153,
Pertussis,All cases,Reported cases,N,2006,GR,Greece,13,
Pertussis,All cases,Reported cases,N,2006,ES,Spain,374,
Pertussis,All cases,Reported cases,N,2006,EUEEA30_21,EU/EEA (without UK),17182,
Pertussis,All cases,Reported cases,N,2006,EUEEAUK_21,EU/EEA (with UK until 2019),17735,
Pertussis,All cases,Reported cases,N,2006,FI,Finland,536,
Pertussis,All cases,Reported cases,N,2006,FR,France,139,
Pertussis,All cases,Reported cases,N,2006,HR,Croatia,80,
Pertussis,All cases,Reported cases,N,2006,HU,Hungary,17,
Pertussis,All cases,Reported cases,N,2006,IE,Ireland,62,
Pertussis,All cases,Reported cases,N,2006,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,2006,IT,Italy,836,
Pertussis,All cases,Reported cases,N,2006,LT,Lithuania,6,
Pertussis,All cases,Reported cases,N,2006,LU,Luxembourg,0,
Pertussis,All cases,Reported cases,N,2006,LV,Latvia,29,
Pertussis,All cases,Reported cases,N,2006,MT,Malta,2,
Pertussis,All cases,Reported cases,N,2006,NL,Netherlands,4275,
Pertussis,All cases,Reported cases,N,2006,NO,Norway,6587,
Pertussis,All cases,Reported cases,N,2006,PL,Poland,1520,
Pertussis,All cases,Reported cases,N,2006,PT,Portugal,22,
Pertussis,All cases,Reported cases,N,2006,RO,Romania,37,
Pertussis,All cases,Reported cases,N,2006,SE,Sweden,795,
Pertussis,All cases,Reported cases,N,2006,SI,Slovenia,551,
Pertussis,All cases,Reported cases,N,2006,SK,Slovakia,21,
Pertussis,All cases,Reported cases,N,2006,UK,United Kingdom,553,
Pertussis,All cases,Reported cases,N,2007,AT,Austria,136,
Pertussis,All cases,Reported cases,N,2007,BE,Belgium,214,
Pertussis,All cases,Reported cases,N,2007,BG,Bulgaria,269,
Pertussis,All cases,Reported cases,N,2007,CY,Cyprus,9,
Pertussis,All cases,Reported cases,N,2007,CZ,Czechia,185,
Pertussis,All cases,Reported cases,N,2007,DK,Denmark,455,
Pertussis,All cases,Reported cases,N,2007,EE,Estonia,409,
Pertussis,All cases,Reported cases,N,2007,GR,Greece,29,
Pertussis,All cases,Reported cases,N,2007,ES,Spain,263,
Pertussis,All cases,Reported cases,N,2007,EUEEA30_21,EU/EEA (without UK),19808,
Pertussis,All cases,Reported cases,N,2007,EUEEAUK_21,EU/EEA (with UK until 2019),20846,
Pertussis,All cases,Reported cases,N,2007,FI,Finland,480,
Pertussis,All cases,Reported cases,N,2007,FR,France,61,
Pertussis,All cases,Reported cases,N,2007,HR,Croatia,123,
Pertussis,All cases,Reported cases,N,2007,HU,Hungary,48,
Pertussis,All cases,Reported cases,N,2007,IE,Ireland,78,
Pertussis,All cases,Reported cases,N,2007,IS,Iceland,2,
Pertussis,All cases,Reported cases,N,2007,IT,Italy,795,
Pertussis,All cases,Reported cases,N,2007,LT,Lithuania,17,
Pertussis,All cases,Reported cases,N,2007,LU,Luxembourg,4,
Pertussis,All cases,Reported cases,N,2007,LV,Latvia,27,
Pertussis,All cases,Reported cases,N,2007,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2007,NL,Netherlands,7374,
Pertussis,All cases,Reported cases,N,2007,NO,Norway,5373,
Pertussis,All cases,Reported cases,N,2007,PL,Poland,1987,
Pertussis,All cases,Reported cases,N,2007,PT,Portugal,21,
Pertussis,All cases,Reported cases,N,2007,RO,Romania,35,
Pertussis,All cases,Reported cases,N,2007,SE,Sweden,685,
Pertussis,All cases,Reported cases,N,2007,SI,Slovenia,708,
Pertussis,All cases,Reported cases,N,2007,SK,Slovakia,21,
Pertussis,All cases,Reported cases,N,2007,UK,United Kingdom,1038,
Pertussis,All cases,Reported cases,N,2008,AT,Austria,175,
Pertussis,All cases,Reported cases,N,2008,BE,Belgium,174,
Pertussis,All cases,Reported cases,N,2008,BG,Bulgaria,193,
Pertussis,All cases,Reported cases,N,2008,CY,Cyprus,2,
Pertussis,All cases,Reported cases,N,2008,CZ,Czechia,765,
Pertussis,All cases,Reported cases,N,2008,DK,Denmark,513,
Pertussis,All cases,Reported cases,N,2008,EE,Estonia,485,
Pertussis,All cases,Reported cases,N,2008,GR,Greece,22,
Pertussis,All cases,Reported cases,N,2008,ES,Spain,613,
Pertussis,All cases,Reported cases,N,2008,EUEEA30_21,EU/EEA (without UK),20388,
Pertussis,All cases,Reported cases,N,2008,EUEEAUK_21,EU/EEA (with UK until 2019),21439,
Pertussis,All cases,Reported cases,N,2008,FI,Finland,1022,
Pertussis,All cases,Reported cases,N,2008,FR,France,114,
Pertussis,All cases,Reported cases,N,2008,HR,Croatia,102,
Pertussis,All cases,Reported cases,N,2008,HU,Hungary,33,
Pertussis,All cases,Reported cases,N,2008,IE,Ireland,104,
Pertussis,All cases,Reported cases,N,2008,IS,Iceland,1,
Pertussis,All cases,Reported cases,N,2008,IT,Italy,339,
Pertussis,All cases,Reported cases,N,2008,LT,Lithuania,51,
Pertussis,All cases,Reported cases,N,2008,LU,Luxembourg,2,
Pertussis,All cases,Reported cases,N,2008,LV,Latvia,14,
Pertussis,All cases,Reported cases,N,2008,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2008,NL,Netherlands,8745,
Pertussis,All cases,Reported cases,N,2008,NO,Norway,3887,
Pertussis,All cases,Reported cases,N,2008,PL,Poland,2163,
Pertussis,All cases,Reported cases,N,2008,PT,Portugal,72,
Pertussis,All cases,Reported cases,N,2008,RO,Romania,51,
Pertussis,All cases,Reported cases,N,2008,SE,Sweden,459,
Pertussis,All cases,Reported cases,N,2008,SI,Slovenia,182,
Pertussis,All cases,Reported cases,N,2008,SK,Slovakia,105,
Pertussis,All cases,Reported cases,N,2008,UK,United Kingdom,1051,
Pertussis,All cases,Reported cases,N,2009,AT,Austria,184,
Pertussis,All cases,Reported cases,N,2009,BE,Belgium,160,
Pertussis,All cases,Reported cases,N,2009,BG,Bulgaria,251,
Pertussis,All cases,Reported cases,N,2009,CY,Cyprus,8,
Pertussis,All cases,Reported cases,N,2009,CZ,Czechia,954,
Pertussis,All cases,Reported cases,N,2009,DK,Denmark,541,
Pertussis,All cases,Reported cases,N,2009,EE,Estonia,629,
Pertussis,All cases,Reported cases,N,2009,GR,Greece,27,
Pertussis,All cases,Reported cases,N,2009,ES,Spain,473,
Pertussis,All cases,Reported cases,N,2009,EUEEA30_21,EU/EEA (without UK),20233,
Pertussis,All cases,Reported cases,N,2009,EUEEAUK_21,EU/EEA (with UK until 2019),21085,
Pertussis,All cases,Reported cases,N,2009,FI,Finland,267,
Pertussis,All cases,Reported cases,N,2009,FR,France,166,
Pertussis,All cases,Reported cases,N,2009,HR,Croatia,102,
Pertussis,All cases,Reported cases,N,2009,HU,Hungary,33,
Pertussis,All cases,Reported cases,N,2009,IE,Ireland,78,
Pertussis,All cases,Reported cases,N,2009,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2009,IT,Italy,638,
Pertussis,All cases,Reported cases,N,2009,LT,Lithuania,233,
Pertussis,All cases,Reported cases,N,2009,LU,Luxembourg,1,
Pertussis,All cases,Reported cases,N,2009,LV,Latvia,9,
Pertussis,All cases,Reported cases,N,2009,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2009,NL,Netherlands,6461,
Pertussis,All cases,Reported cases,N,2009,NO,Norway,5544,
Pertussis,All cases,Reported cases,N,2009,PL,Poland,2390,
Pertussis,All cases,Reported cases,N,2009,PT,Portugal,64,
Pertussis,All cases,Reported cases,N,2009,RO,Romania,10,
Pertussis,All cases,Reported cases,N,2009,SE,Sweden,281,
Pertussis,All cases,Reported cases,N,2009,SI,Slovenia,441,
Pertussis,All cases,Reported cases,N,2009,SK,Slovakia,288,
Pertussis,All cases,Reported cases,N,2009,UK,United Kingdom,852,
Pertussis,All cases,Reported cases,N,2010,AT,Austria,435,
Pertussis,All cases,Reported cases,N,2010,BE,Belgium,100,
Pertussis,All cases,Reported cases,N,2010,BG,Bulgaria,54,
Pertussis,All cases,Reported cases,N,2010,CY,Cyprus,0,
Pertussis,All cases,Reported cases,N,2010,CZ,Czechia,661,
Pertussis,All cases,Reported cases,N,2010,DK,Denmark,372,
Pertussis,All cases,Reported cases,N,2010,EE,Estonia,1295,
Pertussis,All cases,Reported cases,N,2010,GR,Greece,64,
Pertussis,All cases,Reported cases,N,2010,ES,Spain,714,
Pertussis,All cases,Reported cases,N,2010,EUEEA30_21,EU/EEA (without UK),15616,
Pertussis,All cases,Reported cases,N,2010,EUEEAUK_21,EU/EEA (with UK until 2019),16133,
Pertussis,All cases,Reported cases,N,2010,FI,Finland,343,
Pertussis,All cases,Reported cases,N,2010,FR,France,49,
Pertussis,All cases,Reported cases,N,2010,HR,Croatia,45,
Pertussis,All cases,Reported cases,N,2010,HU,Hungary,25,
Pertussis,All cases,Reported cases,N,2010,IE,Ireland,114,
Pertussis,All cases,Reported cases,N,2010,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2010,IT,Italy,463,
Pertussis,All cases,Reported cases,N,2010,LT,Lithuania,19,
Pertussis,All cases,Reported cases,N,2010,LU,Luxembourg,0,
Pertussis,All cases,Reported cases,N,2010,LV,Latvia,9,
Pertussis,All cases,Reported cases,N,2010,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2010,NL,Netherlands,3733,
Pertussis,All cases,Reported cases,N,2010,NO,Norway,3560,
Pertussis,All cases,Reported cases,N,2010,PL,Poland,1266,
Pertussis,All cases,Reported cases,N,2010,PT,Portugal,14,
Pertussis,All cases,Reported cases,N,2010,RO,Romania,29,
Pertussis,All cases,Reported cases,N,2010,SE,Sweden,263,
Pertussis,All cases,Reported cases,N,2010,SI,Slovenia,611,
Pertussis,All cases,Reported cases,N,2010,SK,Slovakia,1378,
Pertussis,All cases,Reported cases,N,2010,UK,United Kingdom,517,
Pertussis,All cases,Reported cases,N,2011,AT,Austria,288,
Pertussis,All cases,Reported cases,N,2011,BE,Belgium,268,
Pertussis,All cases,Reported cases,N,2011,BG,Bulgaria,46,
Pertussis,All cases,Reported cases,N,2011,CY,Cyprus,2,
Pertussis,All cases,Reported cases,N,2011,CZ,Czechia,324,
Pertussis,All cases,Reported cases,N,2011,DK,Denmark,373,
Pertussis,All cases,Reported cases,N,2011,EE,Estonia,478,
Pertussis,All cases,Reported cases,N,2011,GR,Greece,3,
Pertussis,All cases,Reported cases,N,2011,ES,Spain,2325,
Pertussis,All cases,Reported cases,N,2011,EUEEA30_21,EU/EEA (without UK),18608,
Pertussis,All cases,Reported cases,N,2011,EUEEAUK_21,EU/EEA (with UK until 2019),19864,
Pertussis,All cases,Reported cases,N,2011,FI,Finland,555,
Pertussis,All cases,Reported cases,N,2011,FR,France,92,
Pertussis,All cases,Reported cases,N,2011,HU,Hungary,9,
Pertussis,All cases,Reported cases,N,2011,IE,Ireland,229,
Pertussis,All cases,Reported cases,N,2011,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2011,IT,Italy,516,
Pertussis,All cases,Reported cases,N,2011,LT,Lithuania,30,
Pertussis,All cases,Reported cases,N,2011,LU,Luxembourg,4,
Pertussis,All cases,Reported cases,N,2011,LV,Latvia,10,
