"CODE","NAME","PREGNANT","GENERALLASTSHOT","GENERALFIRSTSHOT","GENERAL"
"ABW","Aruba",0,"Y4","M15",6
"AFG","Afghanistan",0,"W6","W10",3
"AGO","Angola",0,"M6","M2",3
"AIA","Anguilla",0,"Y4-Y5","M18",5
"ALB","Albania",0,"Y2","M2",4
"AND","Andorra",1,"Y5","M12",5
"ARE","United Arab Emirates",0,"Y5-Y6","M18",6
"ARG","Argentina",1,"Y5","M15-M18",6
"ARM","Armenia",0,"Y6","M18",6
"ATG","Antigua and Barbuda",0,"M6","M18",4
"AUS","Australia",1,"Y4","M18",6
"AUT","Austria",0,"Y6-Y8","M10-M11",4
"AZE","Azerbaijan",0,"M4","M18",4
"BDI","Burundi",0,"W6","M18",4
"BEL","Belgium",1,"Y5-Y6","M15",6
"BEN","Benin",0,"W6","W10",3
"BFA","Burkina Faso",0,"W8","W12",3
"BGD","Bangladesh",0,"W6","W10",3
"BGR","Bulgaria",0,"Y6","M16",6
"BHR","Bahrain",0,"Y4-Y5","M18",6
"BHS","Bahamas",1,"Y4-Y5","M15",6
"BIH","Bosnia and Herzegovina",0,"Y6","M18",5
"BLR","Belarus",0,"M4","M18",4
"BLZ","Belize",0,"Y4","M18",5
"BMU","Bermuda",1,"Y4-Y6","M18",6
"BOL","Bolivia (Plurinational State of)",0,"Y4","M18-M23",5
"BRA","Brazil",0,"Y4","M15",5
"BRB","Barbados",0,"Y4.5","M18",5
"BRN","Brunei Darussalam",0,"Y5","M2",4
"BTN","Bhutan",0,"W6","M24",4
"BWA","Botswana",0,"M4","M2",3
"CAF","Central African Republic",0,"W6","W10",3
"CAN","Canada",1,"Y4-Y6","M18",4
"CHE","Switzerland",0,"Y4-Y7","M12",5
"CHL","Chile",1,"Y6","M18",6
"CHN","China",0,"M5","M18",4
"CIV","Côte d'Ivoire",0,"W6","W10",3
"CMR","Cameroon",0,"W6","W10",3
"COD","Democratic Republic of the Congo",0,"W6","W10",3
"COG","Congo",0,"W8","W12",3
"COK","Cook Islands",0,"Y4","M3",4
"COL","Colombia",1,"M6","M18",4
"COM","Comoros",0,"W6","W10",3
"CPV","Cabo Verde",0,"M6","M18",4
"CRI","Costa Rica",1,"Y4","M15",5
"CUB","Cuba",0,"M6","M18",4
"CUW","Curaçao",0,"M5.5","M15",4
"CYM","Cayman Islands",1,"Y4-Y6","M15",6
"CYP","Cyprus",1,"Y4-Y6","M18-M20",6
"CZE","Czechia",0,"Y5","M11",5
"DEU","Germany",0,"Y9-Y16","M11",6
"DJI","Djibouti",0,"W6","M15",4
"DMA","Dominica",0,"Y3","M18",3
"DNK","Denmark",1,"Y5","M12",4
"DOM","Dominican Republic",1,"Y4","M18",5
"DZA","Algeria",0,"Y6","M12",4
"ECU","Ecuador",0,"Y5","M12-M23",5
"EGY","Egypt",0,"M6","M18",4
"ERI","Eritrea",0,"W6","W10",3
"ESP","Spain",1,"Y6","M11",4
"EST","Estonia",0,"Y6-Y7","M3",6
"ETH","Ethiopia",0,"W6","W10",3
"FIN","Finland",0,"Y4","M12",5
"FJI","Fiji",0,"W6","W10",3
"FRA","France",1,"Y6","M11",5
"FSM","Micronesia (Federated States of)",0,"Y11-Y12",">=Y4",5
"GAB","Gabon",0,"W6","W10",3
"GBR","United Kingdom of Great Britain and Northern Ireland",0,"W8","M40",3
"GEO","Georgia",0,"Y5","M18",5
"GHA","Ghana",0,"W6","W10",3
"GIN","Guinea",0,"W6","W10",3
"GMB","Gambia",0,"M4","M18",4
"GNB","Guinea-Bissau",0,"W6","W10",3
"GNQ","Equatorial Guinea",0,"W6","M18",4
"GRC","Greece",0,"Y4-Y6","M15-M18",6
"GRD","Grenada",0,"W6","M18",4
"GTM","Guatemala",1,"Y4","M18",5
"GUM","Guam",0,"Y4-Y6","M12-M18",6
"GUY","Guyana",0,"M6","M2",3
"HKG","China, Hong Kong SAR",1,"Y6","M18",6
"HND","Honduras",1,"Y4","M18",5
"HRV","Croatia",0,"Y6","M18",5
"HTI","Haiti",0,"W6","M15",4
"HUN","Hungary",0,"Y6","M18",6
"IDN","Indonesia",0,"M4","M18",4
"IND","India",0,"Y5-Y6","M16-M24",5
"IRL","Ireland",1,"Y4","M2",5
"IRN","Iran (Islamic Republic of)",0,"Y6","M18",5
"IRQ","Iraq",0,"Y4-Y6","M18",5
"ISL","Iceland",1,"Y4","M12",5
"ISR","Israel",1,"Y7","M12",6
"ITA","Italy",1,"Y6","M11",5
"JAM","Jamaica",0,"Y4-Y6","M18",5
"JOR","Jordan",0,"M5","M18",4
"JPN","Japan",0,"M6","M18",4
"KAZ","Kazakhstan",0,"Y6","M18",5
"KEN","Kenya",0,"W6","W10",3
"KGZ","Kyrgyzstan",0,"Y2","M2",4
"KHM","Cambodia",0,"W6","W10",3
"KIR","Kiribati",0,"Y6","W10",4
"KNA","Saint Kitts and Nevis",0,"Y4.5-Y5","M18",5
"KOR","Republic of Korea",0,"Y4-Y6","M15-M18",6
"KWT","Kuwait",0,"Y3.6","M18",5
"LAO","Lao People's Democratic Republic",0,"W6","W10",3
"LBN","Lebanon",0,"Y4-Y5","M18",5
"LBR","Liberia",0,"W6","W10",3
"LBY","Libya",0,"Y6","M18",6
"LCA","Saint Lucia",0,"Y5","M18",5
"LKA","Sri Lanka",0,"M6","M18",4
"LSO","Lesotho",0,"W6","W10",3
"LTU","Lithuania",0,"Y6-Y7","M18",6
"LUX","Luxembourg",0,"Y5-Y6","M13",6
"LVA","Latvia",1,"Y7","M12-M15",6
"MAC","China, Macao SAR",1,"Y7","M18",6
"MAR","Morocco",0,"Y5","M18",5
"MCO","Monaco",0,"Y6","M11",5
"MDA","Republic of Moldova",0,"Y2","M2",4
"MDG","Madagascar",0,"W6","W10",3
"MDV","Maldives",0,"Y4","M2",4
"MEX","Mexico",1,"Y4","M18",5
"MHL","Marshall Islands",0,"Y4-Y6","M12",5
"MKD","North Macedonia",0,"Y7","M18",5
"MLI","Mali",0,"W6","W10",3
"MLT","Malta",0,"M4","M18",4
"MMR","Myanmar",0,"M6","M2",3
"MNE","Montenegro",0,"Y6","M18",5
"MNG","Mongolia",0,"M4","M2",3
"MNP","Northern Mariana Islands",0,"Y7-Y18","M15-M18",6
"MOZ","Mozambique",0,"M4","M2",3
"MRT","Mauritania",0,"W6","W10",3
"MSR","Montserrat",0,"M6","M18",3
"MUS","Mauritius",1,"Y5","M18",6
"MWI","Malawi",0,"W6","W10",3
"MYS","Malaysia",0,"M5","M18",4
"NAM","Namibia",0,"W6","W10",3
"NCL","New Caledonia",0,"Y6","M11",5
"NER","Niger",0,"W6","W10",3
"NGA","Nigeria",0,"W6","W10",3
"NIC","Nicaragua",0,"Y6","M18",5
"NIU","Niue",1,"Y4","M3",5
"NLD","Netherlands (Kingdom of the)",1,"Y4","M11",4
"NOR","Norway",0,"Y7","M12",5
"NPL","Nepal",0,"W6","W10",3
"NRU","Nauru",0,"Y4","M18",5
"NZL","New Zealand",1,"Y4","M3",5
"OMN","Oman",0,"M6","M18",4
"PAK","Pakistan",0,"W6","W10",3
"PAN","Panama",1,"Y4","M18",6
"PER","Peru",1,"Y4","M18",5
"PHL","Philippines",0,"W6","W10",3
"PLW","Palau",0,"Y4-Y6",">=Y10",6
"PNG","Papua New Guinea",0,"M3","M1",3
"POL","Poland",0,"Y6","M16-M18",6
"PRK","Democratic People's Republic of Korea",0,"W6","W10",3
"PRT","Portugal",1,"Y5","M18",5
"PRY","Paraguay",1,"Y4","M18",6
"PSE","occupied Palestinian territory, including east Jerusalem",0,"M6","M18",4
"PYF","French Polynesia",0,"Y6","M10",5
"QAT","Qatar",0,"Y4-Y6","M18",6
"ROU","Romania",1,"Y6","M11",5
"RUS","Russian Federation",0,"M6","M18",4
"RWA","Rwanda",0,"W6","W10",3
"SAU","Saudi Arabia",1,"Y4-Y6","M18",5
"SDN","Sudan",0,"W6","W10",3
"SEN","Senegal",0,"W6","W10",3
"SGP","Singapore",1,"Y11","M18",5
"SLB","Solomon Islands",0,"W6","W10",3
"SLE","Sierra Leone",0,"W6","W10",3
"SLV","El Salvador",1,"Y4","M15-M18",5
"SMR","San Marino",0,"Y5","M11",5
"SOM","Somalia",0,"W6","W10",3
"SRB","Serbia",0,"Y7","M18",5
"SSD","South Sudan",0,"W6","W10",3
"STP","Sao Tome and Principe",0,"W6","W10",3
"SUR","Suriname",1,"Y4-Y5","M18",5
"SVK","Slovakia",0,"Y5","M10",5
"SVN","Slovenia",1,"Y8","M11-M18",4
"SWE","Sweden",1,"Y5","M12",5
"SWZ","Eswatini",0,"W6","W10",3
"SXM","Sint Maarten (Dutch part)",0,"M4","M12",4
"SYC","Seychelles",0,"M5","M18",4
"SYR","Syrian Arab Republic",0,"W8","M18",4
"TCA","Turks and Caicos Islands",0,"Y3","M18",5
"TCD","Chad",0,"W6","W10",3
"TGO","Togo",0,"W6","W10",3
"THA","Thailand",0,"Y4","M2",5
"TJK","Tajikistan",0,"М4","М16-M23",4
"TKL","Tokelau",0,"Y5","W10",4
"TKM","Turkmenistan",0,"M4","M18",4
"TLS","Timor-Leste",0,"W6","M18",4
"TON","Tonga",0,"Y5","M18",5
"TTO","Trinidad and Tobago",0,"Y4-Y5","M18",5
"TUN","Tunisia",0,"M6","M18",4
"TUR","Türkiye",0,"M6","M18",5
"TUV","Tuvalu",0,"Y5-Y6","W10",4
"TZA","United Republic of Tanzania",0,"W6","W10",3
"UGA","Uganda",0,"W6","W10",3
"UKR","Ukraine",0,"M6","M18",4
"URY","Uruguay",1,"Y5","M15",6
"USA","United States of America",1,"Y4","M15",5
"UZB","Uzbekistan",0,"M4","M16",4
"VCT","Saint Vincent and the Grenadines",0,"M6","M18",4
"VEN","Venezuela (Bolivarian Republic of)",0,"Y5","M18",5
"VGB","British Virgin Islands",1,"Y4","M18",5
"VNM","Viet Nam",0,"M4","M18",4
"VUT","Vanuatu",0,"W6","W10",3
"WLF","Wallis and Futuna",0,"Y6","M11",4
"WSM","Samoa",0,"W6","M15",4
"XKX","Kosovo (in accordance with UN Security Council resolution 1244 (1999))",0,"M4","M12",4
"YEM","Yemen",0,"Y5-Y7","M18",5
"ZAF","South Africa",0,"W6","M18",4
"ZMB","Zambia",0,"W6","W10",3
"ZWE","Zimbabwe",0,"W6","M18",4
